,"访问时间","地域","来源","入口页面","搜索词","访问IP","访客标识码","访问时长","访问页数","最后停留在","上一次访问时间","访问类型","访问频次","操作系统","网络服务商","浏览器","语言环境","屏幕分辨率","屏幕颜色","Flash版本","是否支持Cookie","是否支持JAVA","打开时间","停留时长","页面地址"
"1","2022/07/26 17:34:29","青岛","百度","https://ravelloh.github.io","site:ravelloh.github.io","60.209.198.244","5554836450695549711","2s","2","https://ravelloh.github.io","2022/07/26 17:34:25","老访客","2","Win 10","网通","Google Chrome","中文(简体)","753x1205","24-bit","","支持","不支持","17:34:29","2s","https://ravelloh.github.io"
,,,,,,,,,,,,,,,,,,,,,,,"17:34:31","正在访问","https://ravelloh.github.io"
"2","2022/07/26 17:34:25","青岛","百度","https://ravelloh.github.io","site:ravelloh.github.io","60.209.198.244","5554836450695549711","正在访问s","1","https://ravelloh.github.io","2022/07/09 20:15:48","老访客","1","Win 10","网通","Google Chrome","中文(简体)","753x1205","24-bit","","支持","不支持","17:34:25","正在访问","https://ravelloh.github.io"
"3","2022/07/26 15:03:44","兰州","直接访问","https://ravelloh.github.io","--","27.227.186.170","1753195088319647516","120s","1","https://ravelloh.github.io","2022/07/26 15:03:44","老访客","1","Win 10","","Microsoft Edge","中文(简体)","1024x768","32-bit","","支持","不支持","15:03:44","120s","https://ravelloh.github.io"
"4","2022/07/26 13:27:34","济南","直接访问","https://ravelloh.github.io/1","--","124.133.215.140","1890304618472310992","120s","1","https://ravelloh.github.io/1","2022/07/26 13:27:34","老访客","1","iPadOS","网通","Safari移动版","英语(美国)","1024x768","32-bit","","支持","不支持","13:27:34","120s","https://ravelloh.github.io/1"
"5","2022/07/26 13:27:10","合肥","直接访问","https://ravelloh.github.io/1","--","36.32.2.36","1751959413889563677","120s","1","https://ravelloh.github.io/1","2022/07/26 13:27:10","老访客","1","Win 7","","IE","英语(美国)","1024x768","32-bit","","支持","不支持","13:27:10","120s","https://ravelloh.github.io/1"
"6","2022/07/26 13:26:59","呼和浩特","直接访问","https://ravelloh.github.io","--","121.56.26.140","2216091936570115615","120s","1","https://ravelloh.github.io","2022/07/26 13:26:59","老访客","1","Win XP","电信","IE","英语(美国)","1024x768","32-bit","","支持","不支持","13:26:59","120s","https://ravelloh.github.io"
"7","2022/07/26 11:19:38","其他","直接访问","https://ravelloh.github.io","--","137.119.85.113","2170631322972155288","未知","1","https://ravelloh.github.io","2022/07/26 02:36:49","新访客","2","Android 12.0","","Chrome移动版","英语(美国)","412x869","24-bit","","支持","不支持","11:19:38","未知","https://ravelloh.github.io"
"8","2022/07/26 10:10:07","青岛","直接访问","https://ravelloh.github.io","--","60.209.198.244","2188725835331013739","71s","3","https://ravelloh.github.io/EverydayNews","首次访问","新访客","1","Android","网通","微信浏览器","中文(简体)","","24-bit","","支持","不支持","10:10:07","2s","https://ravelloh.github.io"
,,,,,,,,,,,,,,,,,,,,,,,"10:10:10","2s","https://ravelloh.github.io/works"
